m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
-101.9029,103.8483,752.0743,-21.3306,49.2872,806.8630,23.6078,42.0009,772.3986
-102.3597,104.0686,751.5687,-21.6344,49.4184,806.5309,23.3022,41.8368,772.0828
-102.1301,104.3105,751.7389,-21.6592,49.4951,807.4623,22.8729,41.8660,771.6637
-102.2705,104.3347,751.6554,-21.9770,49.4215,807.5843,22.6858,42.2900,771.9489
-102.3562,104.4905,751.6046,-21.9760,49.6056,807.5929,22.1060,41.7918,770.8973
-102.2624,104.6955,752.1170,-22.1379,49.5803,808.2380,21.7727,41.8364,771.0910
-102.4900,104.7693,752.3175,-22.0024,49.4851,808.5169,22.2433,41.9925,771.9153
-102.2483,104.8686,752.5703,-21.6990,49.4607,808.8599,22.0859,41.9728,771.7799
-102.1085,104.6949,752.3023,-21.7124,49.3212,809.3193,21.4614,41.6100,770.7202
-102.2339,104.9846,752.5218,-21.6990,49.4607,808.8599,21.6158,41.6173,770.8709
-102.1498,104.9904,752.2602,-22.0032,49.3271,808.5095,21.6201,41.4684,770.8577
-102.1263,104.9967,752.0782,-22.0032,49.3271,808.5095,21.5089,41.5126,770.3921
-101.8563,105.1699,752.2142,-21.6749,49.7157,808.3800,21.7348,41.7782,770.5716
-101.8013,105.1403,751.7995,-21.6629,49.5917,807.9092,21.7529,41.7809,770.5893
-101.7823,105.1838,751.6396,-21.6755,49.6104,808.3750,21.6313,41.7823,770.4888
-102.0860,105.0438,751.7843,-21.9138,49.6117,807.9512,21.6313,41.7823,770.4888
-102.0674,105.1449,751.6100,-21.9660,49.6160,807.5670,21.4419,41.7237,770.3043
-102.2181,105.3816,751.7593,-21.9668,49.4582,807.5597,21.4463,41.5749,770.2911
-102.1624,105.2551,751.8055,-22.0619,49.4021,807.2010,21.7510,41.6847,770.6062
-102.1466,105.3268,751.6618,-22.2723,49.2740,807.2123,21.4152,41.4394,770.3374
-102.0441,105.2379,751.4999,-21.9677,49.3005,807.5524,21.4498,41.3191,770.3718
-102.1143,105.3529,751.7264,-22.2734,49.0900,807.2038,21.4453,41.4016,770.3092
-102.0751,105.4546,751.7378,-22.2733,49.1163,807.2050,21.4453,41.4016,770.3092
-102.0587,105.5312,751.5208,-22.4806,48.9569,806.9661,21.4409,41.5504,770.3224
-102.0214,105.2423,751.5269,-21.7091,49.3645,806.8586,21.4387,41.3823,770.1860
-101.7628,105.2739,751.5201,-21.9360,49.1722,806.6006,21.5887,41.2251,770.0177
-101.9568,105.3618,751.4160,-21.9347,49.0757,806.5913,21.6456,41.3869,770.5412
-101.6661,105.2351,751.7997,-21.7120,48.8915,806.8368,22.0572,41.4062,770.9430
-101.9506,105.2041,751.6151,-21.9295,48.9975,806.3818,22.2802,41.3914,770.9983
-101.7941,105.2857,751.7968,-21.9340,48.8754,806.3859,21.5834,41.2006,770.0489
-101.9110,105.4435,751.6747,-21.9265,48.9353,806.1314,21.6289,40.7933,770.0589
-101.8201,105.3871,751.4788,-21.9252,48.8388,806.1221,21.7434,40.7836,770.0577
-101.9098,105.2147,751.6633,-21.9252,48.8388,806.1221,22.0467,40.9385,770.3328
-101.8816,105.4832,752.0688,-21.9252,48.8388,806.1221,22.2797,40.7914,770.5805
-101.8602,105.3571,751.7424,-21.9262,48.6813,806.1149,22.3655,40.7777,770.7773
-101.9435,105.5658,751.2079,-21.6994,48.8733,806.3725,22.0523,40.9123,770.4894
-101.9215,105.4083,751.7234,-21.7004,48.7158,806.3653,22.3611,40.9265,770.7906
-101.8177,105.3624,751.9544,-21.6200,48.7584,806.4521,21.7270,40.7645,770.1727
-101.8048,105.4471,751.9022,-21.9284,48.6203,806.1170,21.7270,40.7645,770.1727
-101.8280,105.5227,752.0575,-21.6792,48.7190,806.3887,21.7787,40.5163,770.2061
-101.8102,105.3380,751.9042,-21.6830,48.6028,806.4924,21.6324,40.4713,770.0636
-101.8334,105.4136,752.0595,-21.6192,48.4938,806.3161,21.7956,40.6120,770.2402
-101.8087,105.5791,751.8177,-21.8218,48.5841,805.8581,21.7472,40.5759,770.1932
-101.8334,105.4136,752.0595,-21.6636,48.4642,806.0564,21.7472,40.5759,770.1932
-101.9560,105.5203,751.9037,-21.9167,48.4611,805.7732,22.2497,40.4995,770.6655
-101.8334,105.4136,752.0595,-21.9191,48.3575,805.7083,22.0725,40.3984,770.4931
-101.8334,105.4136,752.0595,-21.9658,48.4357,805.5853,22.3690,40.6034,770.9353
-101.8033,105.6882,751.8156,-21.9113,48.7243,805.6492,22.3653,40.5504,770.7961
-101.9851,105.4289,751.8759,-21.8023,49.1831,805.3118,22.3653,40.5504,770.7961
-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000,-999.0000
-101.8334,105.4136,752.0595,-21.8126,47.6099,805.2402,22.0540,40.5087,770.5108
-101.8334,105.4136,752.0595,-21.8936,48.2596,804.8815,22.3680,40.3048,770.7997
-101.8334,105.4136,752.0595,-21.6002,48.0622,805.4969,22.3639,40.4307,770.8133
-101.8334,105.4136,752.0595,-21.9027,48.0770,805.1574,22.6730,40.4447,771.1147
-101.8822,105.5239,751.7336,-21.5961,48.0729,805.4306,22.3639,40.4307,770.8133
-101.8530,105.4776,752.1910,-21.5937,48.1935,805.3773,22.0881,40.2465,770.5527
-101.7300,105.6261,752.3274,-21.3573,48.2742,805.6049,22.3645,40.3770,770.8141
-101.8476,105.5867,752.1889,-21.5991,48.0927,805.4958,21.7532,40.2243,770.3595
-101.8476,105.5867,752.1889,-21.8394,48.2802,805.2308,22.3696,40.3596,770.9603
-101.8476,105.5867,752.1889,-21.8034,48.1422,805.2636,22.3645,40.3770,770.8141
-101.7396,105.6229,752.3161,-21.5923,48.2776,805.4895,22.0600,40.3993,770.6582
-101.7396,105.6229,752.3161,-21.8875,48.2757,804.8272,22.2496,40.4576,770.8429
-101.8549,105.7335,752.1994,-21.8273,48.2109,805.0841,22.0596,40.3094,770.5492
-102.1106,105.8686,751.9120,-21.9002,48.2750,805.1632,22.0600,40.3892,770.6459
-102.0862,105.6280,751.7998,-21.9013,48.1177,805.1560,21.7298,40.2692,770.1954
-101.8992,105.9859,752.1571,-21.9002,48.2750,805.1632,22.0603,40.2449,770.5501
-102.1106,105.8686,751.9120,-21.9002,48.2750,805.1632,21.8378,40.3499,770.3005
-102.0091,105.8219,752.2767,-21.5962,48.3009,805.5012,22.0558,40.3522,770.5130
-101.8992,105.9859,752.1571,-21.9002,48.2750,805.1632,22.3639,40.4307,770.8133
-102.1106,105.8686,751.9120,-21.8967,48.2420,805.1518,21.7344,40.2347,770.3130
-102.0578,105.7560,751.9535,-21.9029,48.1715,805.2305,22.2878,40.3826,770.8682
-101.9941,105.8882,752.4694,-21.9024,48.1884,805.2195,21.7528,40.2444,770.3468
-102.1096,105.8013,752.3372,-21.9013,48.1177,805.1560,21.7384,40.1279,770.3303
-102.1550,105.7672,752.2852,-21.8920,48.1514,804.8315,22.3726,40.2893,770.9485
-101.8706,105.8615,752.3045,-21.8981,48.0398,805.1426,22.0619,40.2382,770.6606
-101.9401,105.8543,752.5372,-21.8972,48.1050,805.0048,22.2163,40.2452,770.8112
-101.8605,105.9167,752.2092,-21.8972,48.1050,805.0048,22.3696,40.3596,770.9603
-102.1035,105.8059,752.3442,-21.8965,48.1110,804.9825,22.3639,40.4307,770.8133
-102.1035,105.8059,752.3442,-21.8920,48.1514,804.8315,22.3696,40.3596,770.9603
-102.1502,105.8642,752.2834,-22.0314,48.0944,804.6800,22.0594,40.2678,770.4989
-102.1320,105.9743,752.1093,-21.9013,48.1177,805.1560,22.0594,40.2678,770.4989
-102.1343,105.9705,752.1279,-22.0491,48.1856,804.8649,22.0724,40.3565,770.6704
-101.9887,105.9618,752.1480,-21.8963,48.2166,805.0065,22.3639,40.4307,770.8133
-101.9093,105.9307,752.2525,-21.9013,48.1177,805.1560,22.2559,40.4433,770.5667
-101.8992,105.9859,752.1571,-21.8885,48.2105,804.7611,22.6730,40.4447,771.1147
-102.1286,105.8854,751.9921,-21.8899,48.1699,804.7625,22.3595,40.5796,770.8266
-102.1033,105.8714,752.3394,-21.8792,48.2116,804.7714,22.6509,41.1895,771.1813
-101.9435,105.8845,752.5306,-21.8885,48.2105,804.7611,22.6108,42.0597,770.8162
-101.8815,105.8375,752.4290,-21.2760,48.3845,805.4325,22.7281,39.0142,771.4319
-101.8477,105.9765,752.1512,-21.5754,48.4106,805.0491,22.9997,39.8628,771.3633
-101.9004,105.9026,752.5811,-21.8812,48.1931,804.8404,22.9780,40.6078,771.4296
-101.9721,105.8371,752.5000,-21.7332,48.1294,804.7481,22.9823,40.4588,771.4163
-101.9564,105.8854,752.5151,-21.5353,48.3785,805.0479,23.2875,40.6219,771.7315
-101.9918,105.8540,752.4749,-21.8932,48.1064,804.8616,22.6730,40.4447,771.1147
-101.9251,105.8449,752.4009,-21.8700,48.2447,804.2256,22.6810,40.5508,771.1402
-101.9941,105.9678,752.4442,-21.5663,48.2707,804.5627,22.6810,40.5508,771.1402
-102.0767,105.9551,752.3458,-21.8678,48.3056,804.2235,22.6854,40.4019,771.1269
-102.3059,105.8235,752.3557,-21.8759,48.0823,804.2312,23.2868,40.5090,771.5945
-102.1604,106.3207,752.8748,-21.8745,48.1229,804.2298,22.3657,40.2695,770.8156
-102.1952,107.2428,752.8497,-21.8678,48.3056,804.2235,22.9784,40.5326,771.4045
-102.0145,104.7193,752.2913,-21.8614,48.2711,803.9839,22.9784,40.5326,771.4045
-102.1210,105.2770,752.2417,-21.8587,48.2968,803.8328,22.6766,40.2305,770.6682
-102.1947,105.7627,752.6570,-21.8574,48.2270,803.7638,22.9733,40.3402,771.0440
-102.1849,105.8156,752.5655,-21.8755,47.9658,804.2227,22.6971,40.5296,771.1301
-102.1663,105.9166,752.3910,-21.8755,47.9658,804.2227,22.9784,40.5326,771.4045
-102.1663,105.9166,752.3910,-22.2465,47.9505,803.6424,23.2868,40.5090,771.5945
-102.1896,105.9923,752.5464,-22.1781,47.9858,803.8310,22.9784,40.5326,771.4045
-102.0886,105.9463,752.4822,-21.8759,48.0823,804.2312,22.6809,40.5294,771.1143
-102.1649,106.0405,752.3414,-21.8667,48.1160,803.9073,22.8748,40.6031,771.3291
-102.1896,105.9923,752.5464,-22.0763,48.1192,804.0047,22.6685,40.5723,771.1021
-102.1625,106.0890,752.3405,-21.8759,48.0823,804.2312,22.6686,40.5937,771.1280
-102.1996,105.9581,752.6665,-21.8886,48.1147,804.6988,22.6730,40.4447,771.1147
-102.2253,106.1249,752.4929,-21.8777,48.0848,804.2972,22.6730,40.4447,771.1147
-102.1872,106.0408,752.5455,-21.8833,48.1536,804.5183,22.6685,40.5723,771.1021
-102.1872,106.0408,752.5455,-22.0418,48.1569,804.5938,22.6684,40.4191,770.9690
-102.1872,106.0408,752.5455,-22.1956,48.1255,804.4941,22.6897,40.2529,771.1137
-102.1872,106.0408,752.5455,-22.1783,48.2134,803.9014,22.6664,40.3821,771.2498
-102.2290,106.1783,752.2255,-22.1897,47.9986,804.2479,22.6730,40.4447,771.1147
-102.1717,106.1442,752.3942,-22.2501,48.0889,803.8128,22.6730,40.4447,771.1147
-102.2253,106.1249,752.4929,-22.1884,48.2654,804.4083,22.6679,40.4620,770.9684
-102.3112,106.0216,752.4705,-22.1765,48.2642,803.8997,22.3593,40.5380,770.7762
-102.1872,106.0408,752.5455,-21.8749,48.2394,804.2383,22.6680,40.4808,770.9912
-102.1551,106.0595,752.2930,-22.1765,48.2642,803.8997,22.6680,40.4808,770.9912
-102.1501,106.1595,752.2911,-21.8703,48.3636,804.2340,22.0786,40.3913,770.3940
-102.2217,106.0315,752.2150,-21.8749,48.2394,804.2383,22.3639,40.4307,770.8133
-102.0071,106.2773,752.9043,-21.9356,48.2342,804.1709,22.0551,40.4167,770.5121
-102.1366,106.2193,752.1994,-21.9991,48.0931,805.0485,22.0551,40.4167,770.5121
-102.1501,106.1595,752.2911,-22.2040,48.2490,804.8254,22.2445,40.4749,770.6967
-102.1972,106.1578,752.5855,-21.9002,48.2750,805.1632,21.7807,40.4042,770.2446
-102.4443,106.2055,752.3088,-22.2040,48.2490,804.8254,21.7735,40.4917,770.2372
-102.1671,106.2177,752.4344,-21.9675,48.3671,805.3567,21.7853,40.4098,770.2490
-102.1899,106.3033,752.5828,-22.2029,48.4062,804.8325,21.7446,40.5637,770.2088
-102.4070,106.2671,752.0041,-22.2029,48.4062,804.8325,21.8129,40.4963,770.2756
-102.1552,106.3517,752.3007,-21.9099,48.2365,805.5024,21.7446,40.5637,770.2088
-102.1899,106.3033,752.5828,-22.2168,48.2668,805.2881,21.7446,40.5637,770.2088
-102.1552,106.3517,752.3007,-22.2029,48.4062,804.8325,21.8096,40.4399,770.2727
-102.1671,106.2177,752.4344,-21.9472,48.4092,804.6401,22.3621,40.5919,770.8109
-102.1552,106.3517,752.3007,-22.2040,48.2490,804.8254,22.3621,40.5919,770.8109
-102.1899,106.3033,752.5828,-22.2040,48.2490,804.8254,21.7422,40.2385,769.8924
-102.4070,106.2671,752.0041,-22.2040,48.2490,804.8254,22.3585,40.3099,770.4566
-102.1848,106.2842,752.5497,-22.2040,48.2490,804.8254,22.3824,40.3486,770.3810
-102.4138,106.2281,752.3189,-22.1983,48.2411,804.6199,22.2399,40.3814,770.4467
-102.1899,106.3033,752.5828,-22.4078,48.2675,804.5303,22.3824,40.3486,770.3810
-102.5473,106.1912,752.2426,-22.2728,48.3014,804.6787,22.3544,40.3400,770.3538
-102.1899,106.3033,752.5828,-21.8840,48.3324,804.7569,22.2401,40.2735,770.3413
-102.1552,106.3517,752.3007,-21.8679,48.5589,804.2398,22.3858,40.5109,770.6613
-102.1552,106.3517,752.3007,-21.8033,48.3201,804.6639,22.6624,40.4346,770.6536
-102.4138,106.2281,752.3189,-22.3944,48.1238,804.0183,22.4078,40.2654,770.5048
-102.4340,106.2000,752.4826,-22.1923,48.4036,804.6143,22.3910,40.5199,770.8394
-102.1796,106.2027,752.5349,-22.3829,48.3691,803.6790,22.3824,40.3486,770.3810
-102.4473,106.1096,752.2880,-22.3944,48.1238,804.0183,22.3592,40.3373,770.5632
-102.1899,106.3033,752.5828,-22.1773,48.3705,803.9085,22.2317,40.4524,770.2518
-102.2101,106.2844,752.7439,-22.1780,48.2583,803.9034,22.0423,40.3942,770.0674
-102.1899,106.3033,752.5828,-22.1780,48.2583,803.9034,22.4123,40.4668,770.8604
-102.2081,106.2780,752.7307,-22.3829,48.3691,803.6790,22.3510,40.4082,770.3682
-102.4719,106.0229,752.5038,-21.9542,48.1567,804.5077,22.3993,40.4444,770.4152
-102.1972,106.3607,752.6212,-22.1822,48.2189,804.0434,22.3510,40.4082,770.3682
-102.2073,106.2853,752.7225,-22.1783,48.2134,803.9014,22.4037,40.2956,770.4020
-102.2101,106.2752,752.7466,-22.0752,48.2762,804.0118,22.6632,40.3655,770.6546
-102.4675,106.0815,752.4516,-22.3159,48.2476,803.7451,22.3993,40.4444,770.4152
-102.1899,106.3033,752.5828,-22.1783,48.2134,803.9014,22.4037,40.2956,770.4020
-102.4675,106.0815,752.4516,-22.3829,48.3691,803.6790,22.9716,40.4486,770.9548
-102.2104,106.3820,752.7157,-21.8739,48.3965,804.2454,22.8536,40.5669,770.8575
-102.2103,106.3388,752.7282,-21.8739,48.3965,804.2454,22.7132,40.4478,770.9193
-102.2101,106.2752,752.7466,-21.8875,48.2572,804.7005,22.9757,40.4557,771.0941
-102.4622,106.2498,752.4324,-22.2997,48.1968,804.2267,22.9704,40.5562,770.9533
-102.5035,106.2113,752.7613,-22.1849,48.3106,804.1619,22.6773,40.4539,770.6990
-102.2106,106.4307,752.7016,-22.1830,48.3613,804.1601,22.9793,40.7277,771.4124
-102.2515,106.2961,753.0586,-22.1830,48.3613,804.1601,22.6606,40.5958,770.6513
-102.5017,106.2477,752.7607,-22.1763,48.5275,803.9157,22.9704,40.5562,770.9533
-102.2104,106.3820,752.7157,-22.1849,48.3106,804.1619,22.9660,40.7051,770.9665
-102.2103,106.3388,752.7282,-22.0869,48.4512,804.4809,22.4475,40.4300,770.4751
-102.2101,106.2752,752.7466,-22.3937,48.2839,804.0388,22.6694,40.7673,771.1100
-102.2373,106.3969,752.9183,-22.3818,48.5261,803.6862,22.6606,40.5958,770.6513
-102.4676,106.1450,752.4332,-22.3818,48.5261,803.6862,22.4556,40.6557,770.7288
-102.4948,106.2030,752.6231,-22.1901,48.3883,804.3703,22.6730,40.5529,770.6635
-102.2103,106.3388,752.7282,-22.0978,48.6051,803.9974,22.6769,40.7856,771.0291
-102.3947,106.2386,752.5138,-22.1762,48.4009,803.9075,22.6686,40.7018,770.6767
-102.2101,106.2752,752.7466,-21.8734,48.2800,804.2369,22.6835,40.8850,771.3439
-102.3943,106.2828,752.5239,-22.0742,48.4333,804.0189,22.6654,40.8518,771.0980
