m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
811.1667,507.8333,849.5000,299.0000,944.5270,479.9324
811.4403,508.0821,849.5000,299.0000,944.5000,480.0000
811.0000,507.5000,848.9948,299.0464,944.5000,479.5000
811.1667,507.8333,849.4286,299.0000,944.5000,479.5000
811.1667,507.8333,849.1923,299.1923,944.5270,479.9324
811.1667,507.8333,848.9286,299.2143,944.6667,479.5833
811.1667,507.8333,848.8529,299.1471,944.5000,479.0000
811.1667,507.8333,849.5000,299.5000,944.3333,479.4167
811.5000,508.5000,849.1136,298.7727,944.5000,479.5000
811.3750,508.2500,849.5000,299.0000,944.5000,479.5000
811.1667,507.8333,848.9412,299.1765,944.6667,479.5833
811.0909,507.9091,849.5000,299.5000,944.5526,479.8684
811.1667,507.8333,849.5000,299.5000,944.6429,479.6429
811.5000,508.0000,849.5000,299.5000,944.6429,479.6429
811.5000,508.0000,849.5000,299.5000,944.6667,479.5833
811.5000,508.0000,849.5000,299.5000,944.5000,479.5000
811.0000,508.0000,849.5000,299.5000,944.5000,479.5000
811.6207,508.0862,848.5000,299.0000,944.5000,479.5000
811.5000,508.0000,848.5000,299.5000,944.5000,479.5000
811.1250,508.2188,848.5000,299.5000,944.5000,479.5000
811.0938,508.1641,848.5000,299.5000,944.5000,479.5000
811.3119,507.9852,848.2222,299.7778,944.5000,479.5000
811.1250,508.2188,848.5000,300.0000,944.5000,479.5000
811.5000,508.5000,848.5000,300.0000,944.5000,479.5000
811.5000,508.5000,848.1311,299.3361,944.5000,479.5000
811.1250,508.2188,848.0000,299.5000,944.5000,479.5000
811.5000,508.5000,848.5000,300.0000,944.5000,479.5000
811.3119,507.9852,849.0000,300.0000,944.5000,479.5000
811.5000,508.5000,848.5000,299.5000,944.5000,479.5000
811.1250,508.2188,848.5000,299.5000,944.8438,479.0000
811.5000,508.5000,848.5000,299.5000,944.8810,478.8810
811.1667,508.1667,848.5000,299.5000,945.0000,479.0000
811.1250,508.2188,848.7222,299.5000,944.7727,479.2273
811.1250,508.2188,848.5714,299.5714,945.0000,479.0000
811.0294,508.1471,848.5714,299.5714,945.0000,479.0000
811.1250,508.2188,848.9286,299.2143,944.8810,478.8810
811.5000,508.5000,849.5000,300.0000,944.7000,479.5000
811.5000,508.5000,849.1197,299.1761,945.0000,479.0000
811.1250,508.2188,849.1197,299.1761,944.8810,478.8810
810.9074,508.0556,848.7222,299.5000,944.5000,479.5000
811.1786,507.8929,849.5000,300.0000,945.0000,479.0000
811.1250,508.2188,849.1197,299.1761,944.7727,479.2273
811.1250,508.2188,849.5000,300.0000,945.0000,479.5000
810.9118,508.0882,849.5000,299.6429,945.0000,479.5000
811.1250,508.2188,849.5000,299.6429,944.5000,479.5000
810.9286,508.0714,849.5000,300.0000,945.0000,479.5000
810.8333,507.8333,849.1197,299.1761,945.0000,479.5000
811.0800,508.4000,849.3462,299.5000,945.0000,479.5000
810.9400,508.1000,849.5000,299.5000,945.0000,479.0000
810.9074,508.0556,849.5000,299.5000,945.0000,479.0000
810.9074,508.0556,849.5000,299.5000,945.0000,479.5000
811.1250,508.2188,849.5000,299.5000,945.0000,479.0000
810.9074,508.0556,849.5000,300.0000,945.0000,479.0000
810.9579,508.4346,849.5000,300.0000,945.0000,479.5000
810.9375,508.2812,849.5000,300.0000,944.7500,479.0000
810.9074,508.0556,849.0000,299.5000,944.8438,479.0000
810.9355,508.2661,849.0000,299.0000,945.0000,479.0000
810.5000,508.0000,849.2222,299.7778,944.9500,478.6600
810.9810,508.6076,849.2222,299.7778,944.5000,479.5000
810.5000,508.0000,849.2222,299.7778,945.0000,479.0000
810.5000,508.0000,849.5000,300.5000,945.0000,479.0000
810.9579,508.4346,849.2222,299.7778,945.0000,479.5000
810.9375,508.2812,849.0000,300.0000,944.9500,478.6600
810.9074,508.0556,849.1053,299.6842,944.5000,479.5000
810.6935,508.4032,849.5000,300.5000,945.0000,479.0000
810.9375,508.2812,849.5000,300.5000,944.7000,479.5000
810.6935,508.4032,849.0000,300.0000,945.0000,479.0000
810.9375,508.2812,849.5000,300.5000,944.6111,479.7222
810.9375,508.2812,849.5000,300.0000,945.0000,479.5000
810.9074,508.0556,849.5000,299.5000,944.2664,480.0036
810.9074,508.0556,849.5000,300.0000,944.5270,479.9324
810.9074,508.0556,849.5000,300.0000,944.7500,479.7500
811.1250,508.2188,849.5000,299.8333,944.6667,480.0000
811.0000,508.5000,849.1667,299.5000,944.6667,480.0000
811.0000,508.5000,849.5000,300.0000,944.7828,479.5404
811.0000,508.5000,849.4381,299.7784,945.0000,479.0000
