m0_x,m0_y,m1_x,m1_y,m2_x,m2_y
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan
474.1000,521.1000,612.5000,514.0000,687.0000,322.3333
474.0000,521.3333,612.2732,513.8608,686.5000,322.5000
474.0000,521.3333,612.5000,514.0000,686.5000,322.5000
474.0000,521.3333,612.2500,514.0000,686.5192,322.3654
474.2551,521.3163,612.5000,514.0000,687.0000,322.5000
474.4149,521.2660,612.5000,514.0000,686.8333,322.5000
474.4149,521.2660,612.5000,514.1250,687.5000,322.5000
473.9768,521.2550,612.5000,514.0000,687.0000,322.5000
474.0940,521.3271,612.5153,514.1260,687.5000,322.5000
474.4149,521.2660,612.5000,514.1250,687.5000,322.5000
474.5000,521.1667,613.5000,514.5000,687.5000,322.5000
474.5000,521.3000,613.0000,514.8438,688.0000,322.5000
474.5000,521.3000,612.5153,514.1260,688.0000,322.5000
474.3621,521.1207,612.7463,514.2836,688.0000,322.5000
474.3889,521.2778,613.0660,514.7264,688.5000,322.5000
474.3205,521.1923,612.5000,514.0000,687.5000,322.5000
474.4149,521.2660,612.5000,514.5000,687.5192,322.3654
474.3125,521.3125,613.0000,514.5000,687.5192,322.3654
474.1471,521.3235,612.5000,514.6875,687.5192,322.3654
473.7581,521.0484,612.5000,514.0000,688.5000,322.5000
474.1471,521.3235,612.5000,514.1250,687.0000,322.0000
474.1471,521.3235,612.5000,514.6875,688.0000,322.3333
474.1538,521.3846,612.5000,514.6875,688.0000,322.3333
474.0000,521.3333,612.5000,514.5000,687.5192,322.3654
474.0000,521.3333,612.5000,514.5000,688.0000,322.3333
474.0000,521.3333,612.5000,514.1250,687.5455,322.3636
474.0000,521.3333,612.5000,514.1250,688.0000,322.3333
474.0000,521.3333,611.8810,514.1190,688.5000,322.5000
474.0000,521.3333,612.0000,514.0000,688.0000,322.3333
474.1538,521.3846,612.5000,514.0000,687.5192,322.3654
474.0000,521.3333,612.5000,514.0000,687.8333,322.5000
474.0000,521.3333,612.1667,514.1667,687.5000,322.5000
474.0000,521.5000,612.5000,514.0000,687.5000,322.5000
474.0000,521.5000,612.5000,514.0000,687.5000,322.5000
473.9146,521.8171,612.5000,514.0000,687.5000,322.5000
474.0000,521.5000,612.5000,514.0000,687.5000,322.5000
474.0000,521.5000,612.2500,514.0000,687.5000,322.3667
474.0000,521.5000,612.0000,514.0000,687.5192,322.3654
474.0000,521.5000,612.0000,514.0000,687.4802,322.3614
473.8684,521.4474,612.0000,514.0000,687.5000,322.5000
474.0000,521.5000,611.8810,514.1190,687.5000,322.5000
