m0_x,m0_y,m0_z,m1_x,m1_y,m1_z,m2_x,m2_y,m2_z
-99.4824,90.0170,752.8573,-20.7180,40.5244,797.6070,30.7195,33.8622,782.3435
-99.5974,90.1938,752.7927,-21.2235,41.0705,797.5174,30.4902,34.4551,783.0172
-99.6960,90.3310,752.7887,-21.5725,41.4950,797.5231,30.3095,34.9195,783.4882
-99.7958,90.4331,752.8445,-21.8265,41.8017,797.7195,30.1478,35.2779,783.8348
-99.9081,90.5252,752.9353,-22.0303,42.0264,797.9522,29.9327,35.5381,784.0292
-100.0302,90.6100,753.0560,-22.2094,42.1868,798.2131,29.6874,35.7386,784.0934
-100.1325,90.6960,753.1837,-22.3415,42.2952,798.5278,29.4671,35.8735,784.0929
-100.2088,90.7581,753.3185,-22.4444,42.4034,798.8456,29.2343,35.9761,784.0295
-100.2635,90.8004,753.4181,-22.4836,42.5228,799.2225,29.0531,36.0639,783.9197
-100.3060,90.8298,753.4986,-22.5136,42.6416,799.5668,28.8942,36.1605,783.7783
-100.3744,90.8535,753.5359,-22.5367,42.7739,799.8358,28.7850,36.2846,783.6745
-100.4387,90.8742,753.5856,-22.5569,42.9094,800.0584,28.6558,36.3943,783.5413
-100.5062,90.8977,753.6245,-22.5769,43.0485,800.2428,28.5796,36.5056,783.4496
-100.5413,90.9293,753.6753,-22.6004,43.1655,800.4057,28.5016,36.6193,783.3449
-100.5824,90.9516,753.6861,-22.6305,43.2692,800.5452,28.4615,36.7492,783.2618
-100.5963,90.9649,753.6544,-22.6194,43.3852,800.6556,28.4527,36.8894,783.1861
-100.5517,90.9732,753.6370,-22.5656,43.5051,800.7527,28.4748,37.0200,783.1030
-100.4768,90.9701,753.5885,-22.4959,43.6494,800.7597,28.5838,37.1630,783.0502
-100.4006,90.9733,753.5029,-22.3672,43.8151,800.7146,28.7459,37.3076,782.9644
-100.2801,90.9574,753.4477,-22.2126,43.9951,800.5834,28.8870,37.4543,782.8579
-100.1429,90.9400,753.4008,-22.0544,44.1570,800.4265,29.0698,37.6008,782.7726
-100.0124,90.9277,753.3305,-21.9276,44.3098,800.2536,29.2327,37.7436,782.7465
-99.9250,90.9152,753.2945,-21.8571,44.4319,800.0595,29.4041,37.8598,782.7749
-99.8900,90.8975,753.2675,-21.7928,44.5350,799.8546,29.5146,37.9372,782.7661
-99.8690,90.8951,753.2584,-21.7282,44.6032,799.7384,29.5826,37.9889,782.7183
-99.8425,90.8920,753.2644,-21.6918,44.6318,799.6354,29.6209,38.0024,782.6460
-99.8269,90.8851,753.2618,-21.6431,44.6366,799.5791,29.6377,37.9867,782.5881
-99.8197,90.8733,753.2499,-21.6086,44.6353,799.5445,29.6359,37.9718,782.5142
-99.8199,90.8545,753.2263,-21.5255,44.6416,799.5310,29.6665,37.9702,782.4860
-99.7990,90.8541,753.2238,-21.4884,44.6356,799.4775,29.7353,37.9659,782.4961
-99.7823,90.8435,753.2048,-21.4402,44.6316,799.4087,29.8342,37.9521,782.5267
-99.7715,90.8276,753.2029,-21.4234,44.6249,799.2574,29.8935,37.9187,782.4980
-99.7633,90.8128,753.1974,-21.3863,44.6178,799.1055,29.9250,37.8852,782.4794
-99.7561,90.8029,753.1872,-21.3355,44.6033,798.9634,29.9855,37.8648,782.4839
-99.7497,90.7994,753.1757,-21.3039,44.5599,798.8175,30.0534,37.8551,782.5150
-99.7425,90.7922,753.1553,-21.2859,44.5077,798.6375,30.1211,37.8154,782.5577
-99.7335,90.7802,753.1224,-21.2801,44.4621,798.4530,30.1990,37.7698,782.6207
-99.7324,90.7918,753.0936,-21.2875,44.4137,798.3003,30.2469,37.7302,782.6622
-99.7335,90.7961,753.0887,-21.3093,44.3515,798.1583,30.3171,37.6929,782.7295
-99.7380,90.8006,753.1077,-21.3506,44.2841,798.0545,30.3330,37.6504,782.7467
-99.7412,90.8235,753.1095,-21.3665,44.2374,797.9776,30.3410,37.6037,782.7598
-99.7453,90.8353,753.1114,-21.4113,44.1895,797.8887,30.2898,37.5445,782.7186
-99.7507,90.8444,753.1136,-21.4415,44.1572,797.8272,30.2280,37.5031,782.6725
-99.7595,90.8552,753.1184,-21.4626,44.1266,797.7832,30.1840,37.4603,782.6264
-99.7760,90.8626,753.1500,-21.4782,44.0926,797.7489,30.1593,37.4312,782.6062
