,x1,y1,z1,x2,y2,z2,x1f,y1f,z1f,x2f,y2f,z2f
736,-94.05787728452621,-238.19908563844137,1296.434529647442,58.90198047756185,-246.53383397203726,1253.4499410611127,-94.02767042401547,-238.4403855958438,1296.5333158216265,58.91126122381407,-246.67011755109976,1253.342102569098
737,-94.05787728452621,-238.19908563844137,1296.434529647442,58.91322416883136,-246.5858116961055,1253.7004102141707,-94.03893817754059,-238.38497756704095,1296.430757756748,58.91727362884736,-246.63764412676997,1253.3011230582617
738,-94.07425385147255,-238.24695813903207,1296.4057225165823,58.90242173756538,-246.4568962406567,1253.2798879889265,-94.04667181504232,-238.36073100368955,1296.326834545423,58.924363634174156,-246.61390048452915,1253.1932087380571
739,-94.07425385147255,-238.24695813903207,1296.4057225165823,58.92784758921862,-246.67329407156146,1253.0302131994513,-94.0494320077532,-238.35563084589856,1296.2090556293995,58.93550855783848,-246.61642019938128,1253.0704882366401
740,-94.07425385147255,-238.24695813903207,1296.4057225165823,58.93349584826029,-246.58091857568675,1252.8863003004863,-94.04768122421116,-238.3688265842065,1296.057823630054,58.94832247462555,-246.6095545894052,1252.9541519255981
741,-94.06754322565773,-238.36827418146004,1295.5587414842953,58.91270174978734,-246.66822551104795,1252.8409079815879,-94.04113125273805,-238.40251199402454,1295.8479747598242,58.9639935356018,-246.60755560605466,1252.8488253619116
742,-94.06754322565773,-238.36827418146004,1295.5587414842953,58.91270174978734,-246.66822551104795,1252.8409079815879,-94.02981368485061,-238.44207081355324,1295.6857553644786,58.98859245569978,-246.5955379076069,1252.7445458224963
743,-94.01149371150356,-238.5816447095808,1295.715052861694,58.88489178221418,-246.78490926375687,1252.7801164587986,-94.01184829780388,-238.49408343793243,1295.5441731397887,59.02620986867376,-246.57150033117512,1252.6239593352848
744,-94.01149371150356,-238.5816447095808,1295.715052861694,58.87426718511407,-246.5465536706297,1252.1128950995858,-93.99359023142338,-238.53164072524604,1295.3736175334634,59.08773763822761,-246.51199447392375,1252.4771304852532
745,-94.00485545909858,-238.70263698671315,1294.8687741777405,58.90327591116409,-246.18566277629392,1251.4529040951988,-93.97200424353728,-238.56099011918315,1295.1457089036037,59.18518191657899,-246.44684365722995,1252.390828999141
746,-94.00485545909858,-238.70263698671315,1294.8687741777405,59.45573007885605,-246.32819534783962,1252.59745663993,-93.94460764265517,-238.56684801668064,1294.9635710255718,59.32991950399546,-246.42535452606126,1252.4606905757876
747,-93.95104975803666,-238.44968911028488,1294.7646703020282,59.50390307058219,-246.50653875073323,1252.2760969406347,-93.90684444727601,-238.55018750251617,1294.7968968649898,59.45395546077781,-246.42019467028513,1252.507577410523
748,-94.00706445052322,-238.23647814207786,1294.6086219268982,59.82500996702211,-246.37192244914732,1252.6967921681046,-93.86140131624373,-238.5503928587882,1294.635302930931,59.5698972626791,-246.4007802556663,1252.5928476141255
749,-93.85100706265597,-238.57879016673425,1293.9425828306905,59.79333232117067,-246.33029389027627,1253.265527472541,-93.79138356674414,-238.60303187526108,1294.4779083614878,59.64351668790925,-246.38631563632015,1252.6605699877018
750,-93.74598398902204,-238.87484755648842,1294.2189203296932,59.78174000077573,-246.27734711930995,1253.0108272691675,-93.71115283660774,-238.65980958649993,1294.409529407137,59.69234101972157,-246.3813308391121,1252.6272201601078
751,-93.53646112139094,-238.50270462265868,1294.4396485992415,59.802681333168245,-246.5531704538897,1252.8459683918334,-93.62486564153372,-238.68082879304666,1294.372730704746,59.726424407465935,-246.39381963634716,1252.5296956519303
752,-93.58382519968734,-238.87633221403476,1293.698571131831,59.77676430693869,-246.49981436024694,1252.4237905556006,-93.55308733128456,-238.73160922071997,1294.3245996469236,59.747946039858036,-246.3798882344187,1252.3792424089072
753,-93.59020173986508,-238.75562939116233,1294.5437951445456,59.78319097542846,-246.32404756999603,1252.1018041597667,-93.47598281930375,-238.75832746483607,1294.380638954584,59.76480473657174,-246.34611008858258,1252.221186056375
754,-93.23865306655766,-239.03917835012362,1294.4827890777854,59.756209007230716,-246.25474889452252,1251.63122113945,-93.37966199814875,-238.78554485929823,1294.4093005133993,59.778732879727016,-246.31615819834693,1252.0828885237668
755,-93.18490565293739,-238.786252202777,1294.3786165217027,59.756209007230716,-246.25474889452252,1251.63122113945,-93.30669153234184,-238.77053050785094,1294.4255191510074,59.7965433831801,-246.29659756527738,1252.0197654543101
756,-93.18490565293739,-238.786252202777,1294.3786165217027,59.83095904508395,-246.0403691545238,1252.080787356147,-93.25388974082422,-238.75293914992974,1294.4493536919797,59.82119818336536,-246.2841724448651,1252.021310154511
757,-93.16518394703394,-238.82430860589034,1294.61168044566,59.675159344583165,-246.83965476976746,1252.0730229785224,-93.2124728477467,-238.72984239385633,1294.4847680140174,59.84433972586477,-246.31254436393877,1252.01284820154
758,-93.11143395079546,-238.57137015980717,1294.5074883396521,59.76229210214904,-246.22779509607153,1251.641200675393,-93.1788383176096,-238.69105309001242,1294.498808696137,59.89578365493007,-246.25321884284494,1251.9942619163335
759,-93.11143395079546,-238.57137015980717,1294.5074883396521,60.221901174803214,-245.87450300804508,1251.665793820289,-93.1563498678249,-238.67227217911977,1294.5111752579387,59.9695661038045,-246.19830044665176,1252.0344253379087
760,-93.11143395079546,-238.57137015980717,1294.5074883396521,59.817550433355,-246.16113674725966,1252.1342011794331,-93.14126744258432,-238.67037338550185,1294.5239232498027,60.0013607263536,-246.19753248660714,1252.135918536314
761,-93.11143395079546,-238.57137015980717,1294.5074883396521,60.28541609944557,-246.07454971579125,1252.8526256284533,-93.13108324406299,-238.68503944830468,1294.539171623097,60.063848189918325,-246.20301405148825,1252.2375571090874
762,-93.11143395079546,-238.57137015980717,1294.5074883396521,60.144477272892374,-246.1315746864115,1251.562149230505,-93.12410446437575,-238.71870933259515,1294.5594552985515,60.089446724349955,-246.23008759435234,1252.2365112883424
763,-93.0498862391756,-238.8442031595138,1294.6844473328215,60.14211589084495,-246.3009458531485,1251.9157330470812,-93.1191716224203,-238.77698404455438,1294.5881469471046,60.10590407785849,-246.27375295014943,1252.347682523828
764,-93.0498862391756,-238.8442031595138,1294.6844473328215,60.329465403538144,-246.4112363004459,1253.0933539176503,-93.12572359205507,-238.82408640709912,1294.6005249971386,60.1163507754597,-246.31304632918284,1252.5306338517792
765,-93.07708728096765,-238.9775479212747,1294.8288565431392,60.22655607137081,-246.60869277090927,1253.5878132570633,-93.14485222281027,-238.8678524635242,1294.5986465678282,60.09129876020085,-246.33612332446592,1252.6195321505145
766,-93.07708728096765,-238.9775479212747,1294.8288565431392,60.25662285523025,-246.32426797441812,1253.080135114816,-93.17520845644897,-238.89333901047553,1294.5581283820318,60.04372986354724,-246.31391367369127,1252.5467551005313
767,-93.43070936082533,-238.92164955817978,1294.0423468111119,59.78193590763753,-246.30841182029448,1252.051895871662,-93.22184487158096,-238.90478546514026,1294.4722260627814,59.960716679306486,-246.29012550365684,1252.3848022323127
768,-93.16518394703394,-238.82430860589034,1294.61168044566,59.795292841557824,-246.24962047907846,1252.074713963216,-93.23358585444164,-238.9134115217343,1294.4577286999163,59.907559898087385,-246.26344289358846,1252.2780953169733
769,-93.23865306655766,-239.03917835012362,1294.4827890777854,59.79758584389601,-246.41253456790488,1252.469152656639,-93.25664080448166,-238.93687468707262,1294.4173324130936,59.87318735386259,-246.23922422714375,1252.2050721496578
770,-93.23865306655766,-239.03917835012362,1294.4827890777854,59.79960185046243,-246.02884090168808,1251.626625778971,-93.28260252670738,-238.94326607820534,1294.3657947957765,59.8514963778186,-246.1862870003173,1252.087838300733
771,-93.44479864923242,-238.94192277947488,1294.0144346531017,59.79815678643973,-245.9384504210455,1251.4058282738906,-93.31579230864442,-238.93364787680133,1294.2945376887685,59.83854056173074,-246.15977159850743,1252.0473040480956
772,-93.16518394703394,-238.82430860589034,1294.61168044566,59.845264491456575,-246.02964025511923,1252.1602618353952,-93.32737648262729,-238.9226277012644,1294.2697608384399,59.83240379994081,-246.17033089118175,1252.113520021161
773,-93.44479864923242,-238.94192277947488,1294.0144346531017,59.803263948445654,-246.33890927209345,1252.3690679571694,-93.36588646632609,-238.9279729912295,1294.1877976966673,59.82421249804781,-246.20452323141822,1252.1717603445784
774,-93.58382519968734,-238.87633221403476,1293.698571131831,59.81809139756663,-246.2297427971788,1252.2953307807736,-93.39112890271709,-238.93096948757707,1294.134548427218,59.81960260837384,-246.2164927696165,1252.1969099386495
775,-93.23865306655766,-239.03917835012362,1294.4827890777854,59.81809139756663,-246.2297427971788,1252.2953307807736,-93.3841341888576,-238.94304623457901,1294.1537937679652,59.81533468341533,-246.2264253260606,1252.2054382864258
776,-93.44479864923242,-238.94192277947488,1294.0144346531017,59.794991518541615,-246.12086320272428,1251.780603804675,-93.40126856515222,-238.93907033852466,1294.118029796476,59.81069744134461,-246.2359734250169,1252.1987596903637
777,-93.58382519968734,-238.87633221403476,1293.698571131831,59.803263948445654,-246.33890927209345,1252.3690679571694,-93.41102676582662,-238.93458820021118,1294.09936166465,59.80876815494515,-246.26487226716625,1252.2615459533197
778,-93.23865306655766,-239.03917835012362,1294.4827890777854,59.8041419442868,-246.3850447779858,1252.4834310014119,-93.39186268315476,-238.93978447791517,1294.147323884355,59.807845977664726,-246.28158923724075,1252.3061618074848
